open,high,low,close
5.26,5.45,4.21,4.46
4.46,4.88,4.2,4.33
4.33,4.44,3.88,4.27
4.27,4.77,4.23,4.41
4.41,4.5,4.12,4.22
4.22,4.52,4.18,4.39
4.39,4.47,4.29,4.36
4.36,4.4,4.21,4.27
4.27,4.54,4.27,4.42
4.42,5.2,4.42,5.01
5.01,5.1,4.83,5.03
5.03,5.07,4.65,4.77
4.77,5.1,4.77,4.92
4.92,4.99,4.89,4.96
4.96,5,4.74,4.87
4.87,4.9,4.8,4.86
4.86,4.99,4.86,4.92
4.92,4.95,4.51,4.7
4.7,4.78,4.51,4.61
4.61,4.95,4.61,4.82
4.82,5.05,4.82,4.98
4.98,5.07,4.9,4.99
4.99,5.05,4.84,4.94
4.94,5,4.76,4.93
4.93,4.95,4.82,4.86
4.86,4.91,4.75,4.83
4.83,4.99,4.81,4.91
4.91,4.95,4.86,4.89
4.89,5.41,4.87,5.27
5.27,5.45,5.25,5.38
5.38,5.45,5.26,5.33
5.33,5.4,5.3,5.34
5.34,5.4,5.21,5.22
5.22,5.34,5.21,5.28
5.28,5.31,4.5,4.69
4.69,4.9,4.59,4.84
4.84,4.87,4.75,4.81
4.81,4.88,4.6,4.7
4.7,4.79,4.6,4.69
4.69,4.73,4.6,4.68
4.68,4.68,4.3,4.55
4.55,4.74,4.52,4.62
4.62,4.85,4.49,4.81
4.81,4.84,4.72,4.79
4.79,4.86,4.71,4.81
4.81,4.88,4.72,4.86
4.86,4.95,4.82,4.91
4.91,4.92,4.73,4.83
4.83,5.08,4.76,4.97
4.97,4.99,4.81,4.95
4.95,4.97,4.89,4.91
4.91,4.93,4.87,4.92
4.92,4.98,4.88,4.95
4.95,4.95,4.69,4.69
4.69,4.8,4.62,4.79
4.79,4.88,4.73,4.87
4.87,4.9,4.76,4.84
4.84,4.98,4.79,4.93
4.93,4.95,4.84,4.92
4.92,4.94,4.73,4.94
4.94,5.03,4.9,4.96
4.96,4.98,4.86,4.97
4.97,4.98,4.91,4.93
4.93,5.02,4.93,4.98
4.98,5.18,4.96,5.12
5.12,5.19,5.1,5.14
5.14,5.48,5.1,5.35
5.35,5.48,5.11,5.26
5.26,5.32,5.1,5.2
5.2,5.22,4.96,4.96
4.96,5.2,4.95,5.1
5.1,5.18,5.04,5.13
5.13,5.17,4.99,5.1
5.1,5.12,5.03,5.11
5.11,5.11,4.85,4.98
4.98,5.02,4.88,4.9
4.9,5,4.87,4.95
4.95,5,4.92,5
5,5.18,4.97,5.07
5.07,5.18,5.02,5.13
5.13,5.15,5.07,5.07
5.07,5.12,5.03,5.08
5.08,5.1,5.01,5.05
5.05,5.1,4.97,5.06
5.06,5.1,4.96,5.05
5.05,5.1,5,5.04
5.04,5.13,4.8,4.85
4.85,5,4.8,4.96
4.96,5,4.92,4.95
4.95,5,4.92,4.93
4.93,5.04,4.9,5.01
5.01,5.04,4.95,5.04
5.04,5.13,5,5.09
5.09,5.1,5.05,5.1
5.1,5.13,5.06,5.12
5.12,5.14,5.07,5.1
5.1,5.15,5.09,5.09
5.09,5.13,5.06,5.1
5.1,5.12,5.05,5.1
5.1,5.17,5.07,5.14
5.14,5.15,5.07,5.12
5.12,5.15,5.1,5.15
5.15,5.15,5.1,5.1
5.1,5.15,5.1,5.14
5.14,5.16,5.11,5.14
5.14,5.16,5.01,5.15
5.15,5.17,5.1,5.14
5.14,5.2,5.11,5.18
5.18,5.28,5.18,5.27
5.27,5.27,5.21,5.25
5.25,5.25,5.21,5.21
5.21,5.28,5.18,5.27
5.27,5.5,5.22,5.44
5.44,5.49,5.39,5.46
5.46,5.59,5.41,5.59
5.59,5.66,5.56,5.63
5.63,5.7,5.46,5.56
5.56,5.58,5.43,5.47
5.47,5.6,5.43,5.57
5.57,5.75,5.5,5.7
5.7,5.96,5.66,5.93
5.93,5.97,5.81,5.95
5.95,6.59,5.88,6.5
6.5,6.6,6.26,6.4
6.4,6.53,6.1,6.16
6.16,6.36,6.03,6.31
6.31,6.53,6.28,6.5
6.5,6.71,6.45,6.67
6.67,6.8,6.56,6.68
6.68,6.8,6.43,6.55
6.55,6.65,6.4,6.43
6.43,6.47,6.35,6.35
6.35,6.45,6.22,6.3
6.3,6.47,6.29,6.42
6.42,6.65,6.4,6.65
6.65,6.67,6.49,6.61
6.61,6.68,6.54,6.65
6.65,6.69,6.6,6.69
6.69,6.69,6.54,6.63
6.63,6.77,6.58,6.76
6.76,6.76,6.4,6.45
6.45,6.55,6.45,6.51
6.51,6.77,6.48,6.67
6.67,6.72,6.55,6.65
6.65,6.87,6.63,6.76
6.76,6.86,6.72,6.8
6.8,7.1,6.74,7.02
7.02,7.25,6.96,7.2
7.2,7.26,7.02,7.15
7.15,7.9,7.1,7.76
7.76,7.82,7.42,7.67
7.67,7.67,7.52,7.54
7.54,7.7,7.45,7.62
7.62,8.65,7.62,8.5
8.5,9.49,7.32,8.8
8.8,9.4,8.5,9.11
9.11,9.23,8.82,8.87
8.87,8.87,7.6,8.52
8.52,9.7,7.96,8.85
8.85,8.97,8.27,8.41
8.41,9.2,7.75,8.45
8.45,8.85,8.34,8.6
8.6,8.9,8.37,8.8
8.8,8.9,8.6,8.9
8.9,8.95,8.81,8.9
8.9,8.93,8.71,8.89
8.89,8.89,8.7,8.71
8.71,9.15,8.7,9.1
9.1,9.44,9.08,9.35
9.35,9.65,9.11,9.55
9.55,11,9.41,10.53
10.53,11.12,10.3,10.97
10.97,11.3,10.53,10.98
10.98,11.29,10.11,10.87
10.87,11.19,10.64,10.86
10.86,11.1,10.65,11.1
11.1,11.15,10.85,11.06
11.06,12,10.8,11.06
11.06,11.6,11.01,11.39
11.39,11.6,11.39,11.51
11.51,11.77,11.45,11.62
11.62,12.05,11.49,12.04
12.04,12.34,11.89,12.19
12.19,13.25,12.16,13.25
13.25,13.84,12.5,13.5
13.5,15.4,10.6,11.58
11.58,12.9,11.02,11.61
11.61,11.62,7.58,8
8,10.5,7.81,10.1
10.1,10.3,9.7,9.92
9.92,10.1,9.57,9.81
9.81,10.25,9.71,10.1
10.1,10.62,9.85,10.6
10.6,10.63,10.2,10.52
10.52,10.62,10.45,10.61
10.61,12.15,10.54,10.95
10.95,11.21,10.5,10.94
10.94,11.13,10.55,10.92
10.92,10.93,10.6,10.78
10.78,10.83,9.66,10.16
10.16,10.3,9.78,9.97
9.97,10.36,9.72,10.2
10.2,10.59,10.09,10.53
10.53,10.53,10.15,10.38
10.38,11.17,10.26,11
11,11.29,10.64,11.18
11.18,11.21,10.95,11
11,11.14,10.77,11.04
11.04,11.14,10.92,11.02
11.02,11.19,10.87,11.17
11.17,11.35,10.88,11.33
11.33,11.39,10.78,11.36
11.36,11.4,11.22,11.4
11.4,11.8,11.32,11.67
11.67,11.79,11.6,11.75
